step	area	length	number	male
2014	1	all	len45	23.94
2014	1	all	len47	32.49
2014	1	all	len49	47.88
2014	1	all	len51	52.52
2014	1	all	len53	56.68
2014	1	all	len55	65.52
2014	1	all	len57	55.44
2014	1	all	len59	71.82
2014	1	all	len61	24
2014	1	all	len63	26.88
2014	1	all	len65	18.72
2014	1	all	len67	7.5
2014	1	all	len69	6.3
2014	1	all	len71	1.68
2014	1	all	len73	1.8
2014	1	all	len75	0.72
2014	1	all	len77	0.22
2014	1	all	len79	0.08
2014	1	all	len81	0
2014	1	all	len83	0
2014	1	all	len85	0
2014	1	all	len87	0
2014	1	all	len89	0
2015	1	all	len33	1.14
2015	1	all	len35	1.14
2015	1	all	len37	7.98
2015	1	all	len39	12.54
2015	1	all	len41	54.15
2015	1	all	len43	107.73
2015	1	all	len45	274.17
2015	1	all	len47	270.75
2015	1	all	len49	319.2
2015	1	all	len51	270.4
2015	1	all	len53	280.28
2015	1	all	len55	219.44
2015	1	all	len57	151.2
2015	1	all	len59	142.38
2015	1	all	len61	78.96
2015	1	all	len63	54.96
2015	1	all	len65	35.76
2015	1	all	len67	9.1
2015	1	all	len69	5.4
2015	1	all	len71	3.72
2015	1	all	len73	1.62
2015	1	all	len75	1.5
2015	1	all	len77	0.32
2015	1	all	len79	0.3
2015	1	all	len81	0
2015	1	all	len83	0
2015	1	all	len85	0
2015	1	all	len87	0
2015	1	all	len89	0
2015	1	all	len91	0
2015	1	all	len97	0
2016	1	all	len33	0.57
2016	1	all	len35	2.28
2016	1	all	len37	5.13
2016	1	all	len39	10.26
2016	1	all	len41	21.09
2016	1	all	len43	39.9
2016	1	all	len45	70.11
2016	1	all	len47	73.53
2016	1	all	len49	99.75
2016	1	all	len51	112.84
2016	1	all	len53	119.08
2016	1	all	len55	104
2016	1	all	len57	67.2
2016	1	all	len59	64.68
2016	1	all	len61	26.4
2016	1	all	len63	19.92
2016	1	all	len65	20.4
2016	1	all	len67	5.9
2016	1	all	len69	5.2
2016	1	all	len71	2.46
2016	1	all	len73	1.98
2016	1	all	len75	1.26
2016	1	all	len77	0.36
2016	1	all	len79	0.28
2016	1	all	len81	0
2016	1	all	len83	0
2016	1	all	len85	0
2016	1	all	len87	0
2016	1	all	len89	0
2016	1	all	len91	0
2016	1	all	len93	0
2017	1	all	len101	0
2017	1	all	len31	1.71
2017	1	all	len33	0.57
2017	1	all	len35	5.7
2017	1	all	len37	6.27
2017	1	all	len39	17.67
2017	1	all	len41	18.81
2017	1	all	len43	33.06
2017	1	all	len45	43.89
2017	1	all	len47	54.72
2017	1	all	len49	84.93
2017	1	all	len51	88.4
2017	1	all	len53	92.56
2017	1	all	len55	98.28
2017	1	all	len57	73.92
2017	1	all	len59	70.56
2017	1	all	len61	37.2
2017	1	all	len63	33.84
2017	1	all	len65	29.52
2017	1	all	len67	10.2
2017	1	all	len69	8.2
2017	1	all	len71	3.06
2017	1	all	len73	2.28
2017	1	all	len75	1.2
2017	1	all	len77	0.38
2017	1	all	len79	0.38
2017	1	all	len81	0
2017	1	all	len83	0
2017	1	all	len85	0
2017	1	all	len87	0
2017	1	all	len89	0
2017	1	all	len93	0
2018	1	all	len101	0
2018	1	all	len107	0
2018	1	all	len29	0.57
2018	1	all	len31	0.57
2018	1	all	len33	1.14
2018	1	all	len35	9.12
2018	1	all	len37	7.98
2018	1	all	len39	17.1
2018	1	all	len41	39.9
2018	1	all	len43	60.99
2018	1	all	len45	92.91
2018	1	all	len47	125.4
2018	1	all	len49	171.57
2018	1	all	len51	168.48
2018	1	all	len53	149.24
2018	1	all	len55	183.56
2018	1	all	len57	105.42
2018	1	all	len59	86.94
2018	1	all	len61	43.2
2018	1	all	len63	34.56
2018	1	all	len65	25.44
2018	1	all	len67	12.2
2018	1	all	len69	9.9
2018	1	all	len71	4.14
2018	1	all	len73	2.58
2018	1	all	len75	1.62
2018	1	all	len77	0.36
2018	1	all	len79	0.22
2018	1	all	len81	0
2018	1	all	len83	0
2018	1	all	len85	0
2018	1	all	len87	0
2018	1	all	len89	0
2018	1	all	len91	0
2018	1	all	len95	0
2019	1	all	len33	0.57
2019	1	all	len35	3.42
2019	1	all	len37	5.13
2019	1	all	len39	21.09
2019	1	all	len41	34.2
2019	1	all	len43	42.75
2019	1	all	len45	58.71
2019	1	all	len47	80.37
2019	1	all	len49	79.8
2019	1	all	len51	84.76
2019	1	all	len53	98.8
2019	1	all	len55	119.6
2019	1	all	len57	79.8
2019	1	all	len59	82.32
2019	1	all	len61	43.2
2019	1	all	len63	45.6
2019	1	all	len65	30.48
2019	1	all	len67	12
2019	1	all	len69	11.4
2019	1	all	len71	6.24
2019	1	all	len73	4.38
2019	1	all	len75	3.84
2019	1	all	len77	0.6
2019	1	all	len79	0.72
2019	1	all	len81	0
2019	1	all	len83	0
2019	1	all	len85	0
2019	1	all	len87	0
2019	1	all	len89	0
2019	1	all	len91	0
2019	1	all	len97	0
2020	1	all	len29	0.57
2020	1	all	len31	1.71
2020	1	all	len33	2.28
2020	1	all	len35	5.13
2020	1	all	len37	9.12
2020	1	all	len39	17.1
2020	1	all	len41	31.92
2020	1	all	len43	43.89
2020	1	all	len45	67.83
2020	1	all	len47	84.93
2020	1	all	len49	100.32
2020	1	all	len51	85.28
2020	1	all	len53	78
2020	1	all	len55	119.08
2020	1	all	len57	78.96
2020	1	all	len59	88.62
2020	1	all	len61	48.96
2020	1	all	len63	44.64
2020	1	all	len65	43.68
2020	1	all	len67	15.6
2020	1	all	len69	12.3
2020	1	all	len71	5.46
2020	1	all	len73	4.62
2020	1	all	len75	4.02
2020	1	all	len77	0.78
2020	1	all	len79	0.36
2020	1	all	len81	0
2020	1	all	len83	0
2020	1	all	len85	0
2020	1	all	len87	0
2020	1	all	len89	0
2020	1	all	len91	0
2020	1	all	len95	0
2020	1	all	len113	0
2021	1	all	len27	0.57
2021	1	all	len31	2.28
2021	1	all	len33	2.85
2021	1	all	len35	4.56
2021	1	all	len37	7.98
2021	1	all	len39	19.95
2021	1	all	len41	39.33
2021	1	all	len43	40.47
2021	1	all	len45	66.12
2021	1	all	len47	74.1
2021	1	all	len49	82.08
2021	1	all	len51	104.52
2021	1	all	len53	96.72
2021	1	all	len55	138.32
2021	1	all	len57	89.04
2021	1	all	len59	102.48
2021	1	all	len61	59.76
2021	1	all	len63	61.2
2021	1	all	len65	59.28
2021	1	all	len67	19.2
2021	1	all	len69	19.5
2021	1	all	len71	9
2021	1	all	len73	6.48
2021	1	all	len75	4.92
2021	1	all	len77	0.7
2021	1	all	len79	0.72
2021	1	all	len81	0
2021	1	all	len83	0
2021	1	all	len85	0
2021	1	all	len87	0
2021	1	all	len95	0
