"","switch","type","value","optimise","random","lower","upper","parscale"
"ghl.rec.2003","ghl.rec.2003","",2825.17908583346,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2004","ghl.rec.2004","",9110.89616675077,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2005","ghl.rec.2005","",4414.32826145413,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2006","ghl.rec.2006","",3140.97968166849,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2007","ghl.rec.2007","",283.888584636754,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2008","ghl.rec.2008","",413.901379989859,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2009","ghl.rec.2009","",418.455828691746,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2010","ghl.rec.2010","",4381.27196705659,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2011","ghl.rec.2011","",1328.92768879978,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2012","ghl.rec.2012","",1498.11153503574,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2013","ghl.rec.2013","",2374.29834408905,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2014","ghl.rec.2014","",647.199355670404,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2015","ghl.rec.2015","",1128.6889680347,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2016","ghl.rec.2016","",884.490189222547,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2017","ghl.rec.2017","",779.974535226291,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2018","ghl.rec.2018","",5391.06517457653,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2019","ghl.rec.2019","",1903.06444174828,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2020","ghl.rec.2020","",458.081456371906,TRUE,FALSE,0.1,50000,49999.9
"ghl.rec.2021","ghl.rec.2021","",1,FALSE,FALSE,0,100,100
"ghl.rec.sd","ghl.rec.sd","",2,FALSE,FALSE,1,8,7
"adist_surveyindices_log_EcoS_SI_weight","adist_surveyindices_log_EcoS_SI_weight","",78.201168,FALSE,FALSE,NA,NA,NA
"adist_surveyindices_log_EggaN_SI_female_weight","adist_surveyindices_log_EggaN_SI_female_weight","",23.969047,FALSE,FALSE,NA,NA,NA
"adist_surveyindices_log_EggaN_SI_male_weight","adist_surveyindices_log_EggaN_SI_male_weight","",260.488486,FALSE,FALSE,NA,NA,NA
"adist_surveyindices_log_Juv_SI_1_weight","adist_surveyindices_log_Juv_SI_1_weight","",1000,FALSE,FALSE,NA,NA,NA
"adist_surveyindices_log_Juv_SI_2_weight","adist_surveyindices_log_Juv_SI_2_weight","",17.825625,FALSE,FALSE,NA,NA,NA
"adist_surveyindices_log_RussianS_SI_weight","adist_surveyindices_log_RussianS_SI_weight","",45.183143,FALSE,FALSE,NA,NA,NA
"cdist_sumofsquares_EcoS_aldist_weight","cdist_sumofsquares_EcoS_aldist_weight","",200,FALSE,FALSE,NA,NA,NA
"cdist_sumofsquares_EcoS_ldist_weight","cdist_sumofsquares_EcoS_ldist_weight","",2263.696914,FALSE,FALSE,NA,NA,NA
